dia;mes;semana_ano;semanas_mes;feriado_2015-01-01 00:00:00;feriado_2016-01-01 00:00:00;feriado_2017-01-01 00:00:00;feriado_2015-02-17 00:00:00;feriado_2016-02-09 00:00:00;feriado_2017-02-28 00:00:00;feriado_2015-04-03 00:00:00;feriado_2016-03-25 00:00:00;feriado_2017-04-14 00:00:00;feriado_2015-04-21 00:00:00;feriado_2016-04-21 00:00:00;feriado_2017-04-21 00:00:00;feriado_2015-05-01 00:00:00;feriado_2016-05-01 00:00:00;feriado_2017-05-01 00:00:00;feriado_2015-06-04 00:00:00;feriado_2016-05-26 00:00:00;feriado_2017-06-15 00:00:00;feriado_2015-09-07 00:00:00;feriado_2016-09-07 00:00:00;feriado_2017-09-07 00:00:00;feriado_2015-10-12 00:00:00;feriado_2016-10-12 00:00:00;feriado_2017-10-12 00:00:00;feriado_2015-11-02 00:00:00;feriado_2016-11-02 00:00:00;feriado_2017-11-02 00:00:00;feriado_2015-11-15 00:00:00;feriado_2016-11-15 00:00:00;feriado_2017-11-15 00:00:00;feriado_2015-12-25 00:00:00;feriado_2016-12-25 00:00:00;feriado_2017-12-25 00:00:00;y
5;12;48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1683.9730000000002
12;12;49;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1800.6339
19;12;50;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2014.9346
26;12;51;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1765.1283999999998
2;1;52;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1294.6811
9;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1373.2992
16;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1732.158
23;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1656.0748999999998
30;1;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1326.3813
6;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1435.4341
13;2;6;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1312.4332000000002
20;2;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1478.5480000000002
27;2;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1566.0433
